SA1_7DIGITCODE_2016,State,div_nm,Formal_votes,ALP_TPP,ALP_TPP_pc,ALP_TPP_swing,LNP_TPP,LNP_TPP_pc,LNP_TPP_swing
1103617,NSW,Dobell,276.5,133.5,48.28,-2.68,143,51.72,2.68
1103619,NSW,Dobell,293.4,148,50.43,-2.33,145.4,49.57,2.33
1103620,NSW,Dobell,288.2,143.7,49.86,-2,144.5,50.14,2
1103621,NSW,Dobell,377.5,185.6,49.17,-2.13,191.9,50.83,2.13
1103622,NSW,Dobell,191,92.27,48.32,-2.76,98.69,51.68,2.76
1104101,NSW,Dobell,330.3,145.1,43.94,-0.62,185.2,56.06,0.62
1104102,NSW,Dobell,411.5,185.4,45.06,-0.53,226.1,54.94,0.53
1104103,NSW,Dobell,274.1,125.7,45.85,-0.34,148.4,54.15,0.34
1104104,NSW,Dobell,309.7,144,46.51,-0.67,165.6,53.49,0.67
1104105,NSW,Dobell,232.1,107.6,46.38,-0.6,124.4,53.62,0.6
1104106,NSW,Dobell,284.8,129.9,45.61,-1.25,154.9,54.39,1.25
1104107,NSW,Dobell,167.7,76.88,45.84,-0.97,90.85,54.16,0.97
1104111,NSW,Dobell,2.83,1.33,47.09,0.41,1.5,52.91,-0.41
1104112,NSW,Dobell,42.76,18.64,43.6,-0.06,24.12,56.4,0.06
1104113,NSW,Dobell,209.7,94.58,45.1,-0.83,115.1,54.9,0.83
1104119,NSW,Dobell,332.2,147.7,44.45,-2.17,184.5,55.55,2.17
1104120,NSW,Dobell,274.4,120.2,43.8,-2.27,154.2,56.2,2.27
1104121,NSW,Dobell,589.8,258.6,43.85,-2.53,331.2,56.15,2.53
1104122,NSW,Dobell,217.9,93.82,43.06,-2.9,124,56.94,2.9
1104123,NSW,Dobell,304.6,138.5,45.47,-1.32,166.1,54.53,1.32
1104124,NSW,Dobell,301.1,138.8,46.08,-1.72,162.4,53.92,1.72
1104125,NSW,Dobell,322.7,148.6,46.04,-1.57,174.1,53.96,1.57
1104301,NSW,Dobell,54.61,29.65,54.29,-1.42,24.96,45.71,1.42
1104302,NSW,Dobell,236,124.9,52.91,-1.09,111.1,47.09,1.09
1104303,NSW,Dobell,297.7,159.9,53.72,-1.19,137.8,46.28,1.19
1104304,NSW,Dobell,252,134,53.17,-1.15,118,46.83,1.15
1104305,NSW,Dobell,227.6,120.5,52.95,-1.36,107.1,47.05,1.36
1104306,NSW,Dobell,5.65,2.85,50.38,0.51,2.8,49.62,-0.51
1104307,NSW,Dobell,171.6,92.16,53.7,-1.05,79.45,46.3,1.05
1104308,NSW,Dobell,202.2,104.3,51.61,-2.12,97.85,48.39,2.12
1104309,NSW,Dobell,238.2,123.3,51.75,-1.91,114.9,48.25,1.91
1104310,NSW,Dobell,126.2,65.87,52.19,-1.98,60.34,47.81,1.98
1104311,NSW,Dobell,249.1,132,52.99,-1.96,117.1,47.01,1.96
1104312,NSW,Dobell,627.6,296.9,47.31,0.14,330.7,52.69,-0.14
1104313,NSW,Dobell,187.8,100,53.26,-1.21,87.77,46.74,1.21
1104314,NSW,Dobell,120.8,56.82,47.04,-0.6,63.97,52.96,0.6
1104315,NSW,Dobell,233.6,127.8,54.72,-1.73,105.8,45.28,1.73
1104316,NSW,Dobell,209.3,114.6,54.78,-1.6,94.64,45.22,1.6
1104317,NSW,Dobell,238.7,127.7,53.51,-1.34,111,46.49,1.34
1104318,NSW,Dobell,215,114.2,53.1,-0.99,100.9,46.9,0.99
1104319,NSW,Dobell,271,144.6,53.35,-1.31,126.4,46.65,1.31
1104320,NSW,Dobell,288.5,139.6,48.39,-0.15,148.9,51.61,0.15
1104321,NSW,Dobell,222.5,118,53.04,-0.75,104.5,46.96,0.75
1104322,NSW,Dobell,208.2,111.1,53.34,-0.77,97.14,46.66,0.77
1104323,NSW,Dobell,280.5,148.8,53.06,-1.35,131.7,46.94,1.35
1104324,NSW,Dobell,351.4,185.7,52.85,-1.37,165.7,47.15,1.37
1104325,NSW,Dobell,212,110.2,51.97,-1.06,101.8,48.03,1.06
1104326,NSW,Dobell,370.5,195.7,52.82,-2.25,174.8,47.18,2.25
1104327,NSW,Dobell,252.8,133.9,52.94,-0.89,119,47.06,0.89
1104328,NSW,Dobell,171.4,91.27,53.25,-0.96,80.14,46.75,0.96
1104329,NSW,Dobell,179.1,94.84,52.95,-1.55,84.29,47.05,1.55
1104330,NSW,Dobell,366.7,196.6,53.61,-0.93,170.1,46.39,0.93
1104401,NSW,Dobell,231.3,115.9,50.11,-2.72,115.4,49.89,2.72
1104402,NSW,Dobell,244.8,128.4,52.45,-2.98,116.4,47.55,2.98
1104403,NSW,Dobell,160.8,84.47,52.53,-3.23,76.33,47.47,3.23
1104404,NSW,Dobell,423.3,218.7,51.68,-2.6,204.5,48.32,2.6
1104405,NSW,Dobell,191.8,98.89,51.56,-3.04,92.9,48.44,3.04
1104406,NSW,Dobell,191.1,97.2,50.86,-3.09,93.92,49.14,3.09
1104407,NSW,Dobell,291.7,150.8,51.7,-2.61,140.9,48.3,2.61
1104408,NSW,Dobell,208.3,107,51.36,-2.7,101.3,48.64,2.7
1104409,NSW,Dobell,200.2,103.6,51.76,-2.8,96.55,48.24,2.8
1104410,NSW,Dobell,169.4,82.64,48.79,-3.62,86.73,51.21,3.62
1104411,NSW,Dobell,181,84.98,46.94,-6.87,96.04,53.06,6.87
1104412,NSW,Dobell,476.2,227.5,47.77,-5.11,248.8,52.23,5.11
1104414,NSW,Dobell,350.3,177.7,50.74,-2.35,172.6,49.26,2.35
1104415,NSW,Dobell,296.6,158.5,53.42,-2.96,138.2,46.58,2.96
1104416,NSW,Dobell,461.4,243.7,52.81,-3.17,217.8,47.19,3.17
1104417,NSW,Dobell,335.4,176.3,52.57,-3.59,159.1,47.43,3.59
1104419,NSW,Dobell,310.2,149.8,48.29,-3.49,160.4,51.71,3.49
1104420,NSW,Dobell,159,78.86,49.6,-3.94,80.15,50.4,3.94
1104421,NSW,Dobell,237.6,110.6,46.56,-8.47,127,53.44,8.47
1104422,NSW,Dobell,319.2,163.4,51.19,-2.41,155.8,48.81,2.41
1104423,NSW,Dobell,348.3,175.6,50.41,-2.67,172.7,49.59,2.67
1104424,NSW,Dobell,188.4,96.91,51.43,-2.4,91.52,48.57,2.4
1104425,NSW,Dobell,155.1,75.81,48.87,-4.03,79.32,51.13,4.03
1104426,NSW,Dobell,284.7,140.5,49.34,-2.28,144.2,50.66,2.28
1104427,NSW,Dobell,178.5,88.55,49.61,-2.92,89.94,50.39,2.92
1104428,NSW,Dobell,260.2,130.3,50.07,-2.86,129.9,49.93,2.86
1104429,NSW,Dobell,380.9,191.3,50.22,-4.01,189.6,49.78,4.01
1104430,NSW,Dobell,214.4,107.5,50.11,-3.75,107,49.89,3.75
1104431,NSW,Dobell,212.4,106.2,50.03,-3.21,106.1,49.97,3.21
1104432,NSW,Dobell,217.9,109.2,50.1,-3.24,108.7,49.9,3.24
1104433,NSW,Dobell,219.4,113.2,51.58,-3.06,106.2,48.42,3.06
1104434,NSW,Dobell,393.6,208.3,52.91,-3.16,185.3,47.09,3.16
1104435,NSW,Dobell,204.2,98.44,48.22,-2.09,105.7,51.78,2.09
1104436,NSW,Dobell,315,161.9,51.39,-2.57,153.1,48.61,2.57
1104437,NSW,Dobell,200.9,100,49.78,-2.45,100.9,50.22,2.45
1104438,NSW,Dobell,311.5,154.2,49.49,-2.95,157.3,50.51,2.95
1104439,NSW,Dobell,293.1,146.2,49.87,-1.87,146.9,50.13,1.87
1104440,NSW,Dobell,175.4,84.1,47.94,-3.82,91.32,52.06,3.82
1104441,NSW,Dobell,252.2,136.8,54.25,-3.06,115.4,45.75,3.06
1104442,NSW,Dobell,252.8,133.1,52.66,-3.16,119.7,47.34,3.16
1104443,NSW,Dobell,151,77.11,51.07,-3.94,73.88,48.93,3.94
1104444,NSW,Dobell,247,126.1,51.04,-4.02,120.9,48.96,4.02
1104445,NSW,Dobell,232.2,121.9,52.51,-3.54,110.3,47.49,3.54
1104446,NSW,Dobell,334.5,172.5,51.56,-2.93,162.1,48.44,2.93
1104447,NSW,Dobell,273,136.3,49.94,-3.19,136.7,50.06,3.19
1104448,NSW,Dobell,235.1,123.8,52.66,-3.09,111.3,47.34,3.09
1104449,NSW,Dobell,268.5,137.7,51.27,-3.06,130.8,48.73,3.06
1104450,NSW,Dobell,267.6,131,48.95,-3.63,136.6,51.05,3.63
1104451,NSW,Dobell,271.5,134.5,49.53,-3.55,137,50.47,3.55
1104452,NSW,Dobell,135.2,67.05,49.58,-3.76,68.19,50.42,3.76
1104453,NSW,Dobell,248.3,125.3,50.47,-3.74,123,49.53,3.74
1104454,NSW,Dobell,139.8,71.1,50.86,-3.84,68.69,49.14,3.84
1104455,NSW,Dobell,294.9,148.5,50.34,-3.9,146.5,49.66,3.9
1104456,NSW,Dobell,304.8,150.9,49.51,-1.75,153.9,50.49,1.75
1104457,NSW,Dobell,241.4,120.1,49.75,-1.39,121.3,50.25,1.39
1104458,NSW,Dobell,236.4,110.3,46.64,-2.49,126.1,53.36,2.49
1104459,NSW,Dobell,257.3,127.7,49.62,-1.57,129.6,50.38,1.57
1104501,NSW,Dobell,266.9,150.7,56.49,-4.77,116.1,43.51,4.77
1104502,NSW,Dobell,206.2,116.9,56.73,-4.95,89.21,43.27,4.95
1104503,NSW,Dobell,165.1,92.81,56.21,-4.57,72.3,43.79,4.57
1104504,NSW,Dobell,368.9,210.4,57.02,-4.88,158.5,42.98,4.88
1104512,NSW,Dobell,258.4,149,57.65,-5.02,109.4,42.35,5.02
1104513,NSW,Dobell,403.1,228.2,56.62,-4.81,174.9,43.38,4.81
1104514,NSW,Dobell,285,164.1,57.6,-5.06,120.8,42.4,5.06
1104515,NSW,Dobell,207,118.2,57.09,-4.86,88.82,42.91,4.86
1104516,NSW,Dobell,317.8,183.8,57.83,-5.18,134,42.17,5.18
1104517,NSW,Dobell,179.7,102.2,56.87,-4.9,77.48,43.13,4.9
1104518,NSW,Dobell,560.1,317.6,56.71,-4.86,242.5,43.29,4.86
1104519,NSW,Dobell,13.07,7.25,55.51,-4.67,5.81,44.49,4.67
1104521,NSW,Dobell,300.7,171.3,56.96,-4.94,129.4,43.04,4.94
1104522,NSW,Dobell,257.5,146.2,56.78,-4.92,111.3,43.22,4.92
1104523,NSW,Dobell,165.6,94.57,57.1,-4.93,71.04,42.9,4.93
1104701,NSW,Dobell,318.6,165.7,52,-2.71,152.9,48,2.71
1104702,NSW,Dobell,166.8,85.82,51.45,-3.05,80.97,48.55,3.05
1104703,NSW,Dobell,165.4,80.9,48.9,-3.57,84.54,51.1,3.57
1104704,NSW,Dobell,385.6,193.4,50.14,-4.33,192.3,49.86,4.33
1104705,NSW,Dobell,343.5,171.8,50,-4.23,171.8,50,4.23
1104706,NSW,Dobell,266.5,133.8,50.19,-4.12,132.8,49.81,4.12
1104707,NSW,Dobell,343.4,170.7,49.72,-4.37,172.6,50.28,4.37
1104708,NSW,Dobell,370.2,185.9,50.2,-3.79,184.4,49.8,3.79
1104709,NSW,Dobell,350.3,176.8,50.47,-3.41,173.5,49.53,3.41
1104710,NSW,Dobell,93.75,48.12,51.32,-2,45.64,48.68,2
1104711,NSW,Dobell,368.5,183.2,49.7,-3.25,185.4,50.3,3.25
1104712,NSW,Dobell,376.4,180.9,48.05,-3.05,195.5,51.95,3.05
1104713,NSW,Dobell,587.9,287.6,48.93,-3.7,300.2,51.07,3.7
1104714,NSW,Dobell,148.4,74.76,50.38,-3.8,73.63,49.62,3.8
1104715,NSW,Dobell,357.4,170.4,47.68,-9.19,187,52.32,9.19
1104716,NSW,Dobell,234.4,112.8,48.11,-8.42,121.6,51.89,8.42
1104717,NSW,Dobell,272.8,138,50.57,-3.21,134.9,49.43,3.21
1104718,NSW,Dobell,257.8,132.2,51.27,-2.95,125.6,48.73,2.95
1104719,NSW,Dobell,410.8,213.1,51.88,-3.3,197.7,48.12,3.3
1104720,NSW,Dobell,174.6,90.61,51.89,-2.21,84.01,48.11,2.21
1104721,NSW,Dobell,323.8,168.7,52.1,-2.55,155.1,47.9,2.55
1104722,NSW,Dobell,322.1,167.7,52.07,-3.19,154.4,47.93,3.19
1104723,NSW,Dobell,190.8,93.59,49.05,-4.05,97.23,50.95,4.05
1104724,NSW,Dobell,354.7,175.2,49.38,-3.84,179.6,50.62,3.84
1104725,NSW,Dobell,181.6,92.14,50.73,-3.92,89.48,49.27,3.92
1104726,NSW,Dobell,235.4,117.7,50.01,-4.03,117.7,49.99,4.03
1104727,NSW,Dobell,224.2,111.2,49.59,-4.31,113,50.41,4.31
1104728,NSW,Dobell,389.3,194.7,50.02,-4.05,194.5,49.98,4.05
1104729,NSW,Dobell,385.6,192.1,49.82,-4.18,193.5,50.18,4.18
1104730,NSW,Dobell,237.5,117.9,49.64,-4.29,119.6,50.36,4.29
1104731,NSW,Dobell,347.9,182,52.31,-3.15,165.9,47.69,3.15
1104732,NSW,Dobell,338.8,176.4,52.08,-3.19,162.4,47.92,3.19
1104733,NSW,Dobell,103.9,54.8,52.76,-3.18,49.06,47.24,3.18
1104734,NSW,Dobell,202.4,106.7,52.71,-3.21,95.69,47.29,3.21
1104735,NSW,Dobell,371.4,194.5,52.38,-3.14,176.9,47.62,3.14
1104736,NSW,Dobell,358.2,188,52.48,-3.11,170.2,47.52,3.11
1104737,NSW,Dobell,14.18,7.12,50.24,-3.43,7.06,49.76,3.43
1104801,NSW,Dobell,181.4,100.3,55.32,-4.83,81.06,44.68,4.83
1104802,NSW,Dobell,267.3,146.7,54.87,-5.15,120.6,45.13,5.15
1104803,NSW,Dobell,349.2,189.7,54.33,-4.76,159.5,45.67,4.76
1104804,NSW,Dobell,238.4,129.9,54.47,-4.73,108.5,45.53,4.73
1104805,NSW,Dobell,274.3,150.2,54.75,-5.32,124.1,45.25,5.32
1104806,NSW,Dobell,174.9,92.53,52.9,-4.95,82.39,47.1,4.95
1104807,NSW,Dobell,367.5,200.9,54.66,-5.1,166.6,45.34,5.1
1104808,NSW,Dobell,223.9,122.6,54.76,-5.34,101.3,45.24,5.34
1104809,NSW,Dobell,280.6,156.2,55.67,-5.25,124.4,44.33,5.25
1104810,NSW,Dobell,397.8,218.2,54.84,-5.04,179.7,45.16,5.04
1104811,NSW,Dobell,377.3,212,56.18,-4.69,165.3,43.82,4.69
1104812,NSW,Dobell,361.6,202.8,56.07,-4.5,158.9,43.93,4.5
1104813,NSW,Dobell,352.6,198.4,56.27,-4.64,154.2,43.73,4.64
1104814,NSW,Dobell,438.7,246.2,56.11,-5.01,192.6,43.89,5.01
1104815,NSW,Dobell,220.3,122.3,55.5,-5.4,98.04,44.5,5.4
1104816,NSW,Dobell,248.7,137.1,55.12,-5.24,111.6,44.88,5.24
1104817,NSW,Dobell,300.4,167.1,55.61,-5.17,133.3,44.39,5.17
1104818,NSW,Dobell,368.6,207.2,56.22,-5.48,161.4,43.78,5.48
1104819,NSW,Dobell,314.5,174.7,55.54,-5.19,139.8,44.46,5.19
1104820,NSW,Dobell,191.6,105,54.81,-4.91,86.59,45.19,4.91
1104821,NSW,Dobell,319.5,172.2,53.91,-5.29,147.3,46.09,5.29
1104822,NSW,Dobell,309.5,172.8,55.84,-4.93,136.7,44.16,4.93
1104823,NSW,Dobell,209,113.6,54.37,-4.62,95.37,45.63,4.62
1104824,NSW,Dobell,475.2,259,54.51,-4.79,216.1,45.49,4.79
1104825,NSW,Dobell,313.8,173.7,55.34,-4.94,140.2,44.66,4.94
1104826,NSW,Dobell,300.8,164.6,54.73,-5.08,136.2,45.27,5.08
1104827,NSW,Dobell,335.2,186.6,55.66,-5.27,148.6,44.34,5.27
1104828,NSW,Dobell,352,193.5,54.97,-5.02,158.5,45.03,5.02
1104829,NSW,Dobell,294.2,162.7,55.3,-4.98,131.5,44.7,4.98
1104830,NSW,Dobell,337,183.2,54.37,-4.99,153.8,45.63,4.99
1104831,NSW,Dobell,239.5,133.7,55.82,-4.85,105.8,44.18,4.85
1104832,NSW,Dobell,348.8,190.4,54.58,-4.85,158.4,45.42,4.85
1104833,NSW,Dobell,310,172.5,55.66,-5.39,137.5,44.34,5.39
1104834,NSW,Dobell,202,113.9,56.4,-5.56,88.06,43.6,5.56
1104835,NSW,Dobell,204.5,113.7,55.62,-5.5,90.76,44.38,5.5
1104836,NSW,Dobell,356.5,197.6,55.44,-5.16,158.9,44.56,5.16
1104837,NSW,Dobell,332.5,182.4,54.86,-5.19,150.1,45.14,5.19
1104838,NSW,Dobell,233.8,128.1,54.8,-4.76,105.7,45.2,4.76
1104840,NSW,Dobell,210.4,116.7,55.46,-4.59,93.71,44.54,4.59
1104841,NSW,Dobell,226.1,124.4,55.02,-4.67,101.7,44.98,4.67
1104842,NSW,Dobell,230.3,126.9,55.08,-4.65,103.5,44.92,4.65
1104843,NSW,Dobell,291.5,160,54.88,-5.39,131.5,45.12,5.39
1104844,NSW,Dobell,211.1,115.9,54.89,-4.76,95.21,45.11,4.76
1104845,NSW,Dobell,347.5,191.5,55.1,-5.24,156,44.9,5.24
1104846,NSW,Dobell,369,201.2,54.53,-5.14,167.8,45.47,5.14
1104847,NSW,Dobell,202.9,110.6,54.53,-5.26,92.24,45.47,5.26
1104848,NSW,Dobell,296,164.1,55.44,-4.77,131.9,44.56,4.77
1104849,NSW,Dobell,86.84,49.1,56.54,0.93,37.74,43.46,-0.93
1104901,NSW,Dobell,313.2,148.6,47.43,-4.16,164.7,52.57,4.16
1104902,NSW,Dobell,219.1,105.3,48.04,-2.81,113.9,51.96,2.81
1104903,NSW,Dobell,286.3,135.1,47.19,-3.68,151.2,52.81,3.68
1104904,NSW,Dobell,252.3,120.4,47.7,0.3,132,52.3,-0.3
1104905,NSW,Dobell,344.1,172.9,50.26,1.94,171.1,49.74,-1.94
1104906,NSW,Dobell,188.2,88.07,46.81,1.22,100.1,53.19,-1.22
1104907,NSW,Dobell,192.2,90.16,46.91,1.38,102,53.09,-1.38
1104908,NSW,Dobell,165.3,77.8,47.06,-0.8,87.5,52.94,0.8
1104910,NSW,Dobell,328.8,156.2,47.5,1.47,172.6,52.5,-1.47
1105101,NSW,Dobell,328.3,160.1,48.76,-3.31,168.2,51.24,3.31
1105102,NSW,Dobell,251.2,122.6,48.81,-3.22,128.6,51.19,3.22
1105103,NSW,Dobell,171.9,82.9,48.22,-3.65,89.02,51.78,3.65
1105104,NSW,Dobell,155.9,76.81,49.27,-3.33,79.09,50.73,3.33
1105105,NSW,Dobell,1.89,0.93,48.86,-4.31,0.97,51.14,4.31
1105106,NSW,Dobell,378.8,188.2,49.68,-3.43,190.6,50.32,3.43
1105107,NSW,Dobell,50.11,24.37,48.63,-3.4,25.74,51.37,3.4
1105108,NSW,Dobell,364.8,185.4,50.81,-3.16,179.4,49.19,3.16
1105109,NSW,Dobell,159.2,77.76,48.85,-2.8,81.41,51.15,2.8
1105110,NSW,Dobell,238.5,115.4,48.39,-2.95,123.1,51.61,2.95
1105111,NSW,Dobell,191.9,93.1,48.52,-3.18,98.78,51.48,3.18
1105112,NSW,Dobell,202,98.65,48.84,-3.34,103.3,51.16,3.34
1105113,NSW,Dobell,244.6,119.9,49,-3.26,124.8,51,3.26
1105114,NSW,Dobell,227.5,110.3,48.5,-3.49,117.1,51.5,3.49
1105115,NSW,Dobell,164.1,79.67,48.56,-2.69,84.41,51.44,2.69
1105116,NSW,Dobell,173.1,85.7,49.51,-2.95,87.41,50.49,2.95
1105301,NSW,Dobell,351.6,176.3,50.14,-2.75,175.3,49.86,2.75
1105302,NSW,Dobell,269.9,135.4,50.15,-2.99,134.6,49.85,2.99
1105303,NSW,Dobell,356.6,178.7,50.11,-2.58,177.9,49.89,2.58
1105304,NSW,Dobell,275,136.4,49.59,-2.84,138.6,50.41,2.84
1105305,NSW,Dobell,383,186,48.58,-3.47,196.9,51.42,3.47
1105306,NSW,Dobell,304.2,149.5,49.15,-3.28,154.7,50.85,3.28
1105307,NSW,Dobell,371.8,187.2,50.35,-2.46,184.6,49.65,2.46
1105308,NSW,Dobell,230.6,116,50.29,-2.68,114.7,49.71,2.68
1105309,NSW,Dobell,239.8,120.4,50.2,-2.59,119.4,49.8,2.59
1105310,NSW,Dobell,287.9,145.6,50.59,-2.32,142.2,49.41,2.32
1105311,NSW,Dobell,223.8,112.4,50.21,-3.08,111.4,49.79,3.08
1105312,NSW,Dobell,227.7,111.5,48.97,-3.06,116.2,51.03,3.06
1105313,NSW,Dobell,198.9,99.34,49.93,-2.35,99.6,50.07,2.35
1105314,NSW,Dobell,317.2,157,49.5,-3.36,160.2,50.5,3.36
1105315,NSW,Dobell,454.4,224.3,49.37,-3.01,230.1,50.63,3.01
1105316,NSW,Dobell,382.9,188.8,49.3,-2.96,194.1,50.7,2.96
1105317,NSW,Dobell,181.8,90.72,49.9,-2.71,91.07,50.1,2.71
1105318,NSW,Dobell,197,98.54,50.02,-1.59,98.47,49.98,1.59
1105319,NSW,Dobell,164.1,82.76,50.44,-2.68,81.31,49.56,2.68
1105320,NSW,Dobell,241.6,120.4,49.83,-1.5,121.2,50.17,1.5
1105321,NSW,Dobell,443.2,222.4,50.17,-1.23,220.8,49.83,1.23
1105322,NSW,Dobell,212.8,106.7,50.13,-2.68,106.1,49.87,2.68
1105323,NSW,Dobell,5.69,2.77,48.62,-3.94,2.92,51.38,3.94
1105324,NSW,Dobell,299.2,147.4,49.25,-3.11,151.8,50.75,3.11
1105325,NSW,Dobell,273.3,135.1,49.42,-3.06,138.3,50.58,3.06
1105326,NSW,Dobell,255.9,126,49.22,-2.9,130,50.78,2.9
1105327,NSW,Dobell,235.5,120.1,50.99,-3.31,115.4,49.01,3.31
1105328,NSW,Dobell,428.9,211.1,49.22,-3.58,217.8,50.78,3.58
1105329,NSW,Dobell,348.6,171.9,49.3,-3.67,176.8,50.7,3.67
1105330,NSW,Dobell,358.4,176.7,49.31,-3.47,181.7,50.69,3.47
1105331,NSW,Dobell,219.5,109.5,49.88,-3.47,110,50.12,3.47
1105332,NSW,Dobell,265.4,132.5,49.92,-3.34,132.9,50.08,3.34
1105333,NSW,Dobell,219,108.3,49.45,-3.4,110.7,50.55,3.4
1105334,NSW,Dobell,419.9,210.4,50.11,-3.33,209.5,49.89,3.33
1105335,NSW,Dobell,280.5,141.4,50.42,-3.4,139.1,49.58,3.4
1105336,NSW,Dobell,182.3,89.16,48.91,-3.4,93.14,51.09,3.4
1105337,NSW,Dobell,372.6,184.2,49.43,-2.76,188.4,50.57,2.76
1105401,NSW,Dobell,353.8,191.6,54.16,-3.39,162.2,45.84,3.39
1105402,NSW,Dobell,212.9,115.8,54.4,-3.74,97.07,45.6,3.74
1105403,NSW,Dobell,217.3,116.8,53.76,-3.63,100.5,46.24,3.63
1105404,NSW,Dobell,360.5,191.7,53.19,-3.18,168.8,46.81,3.18
1105405,NSW,Dobell,184.3,100.9,54.75,-3.61,83.39,45.25,3.61
1105406,NSW,Dobell,402.4,211.2,52.47,-3.49,191.3,47.53,3.49
1105407,NSW,Dobell,345.1,186.4,54.01,-2.72,158.7,45.99,2.72
1105408,NSW,Dobell,519.4,281.7,54.24,-3.34,237.6,45.76,3.34
1105409,NSW,Dobell,233.8,126.4,54.09,-2.87,107.3,45.91,2.87
1105410,NSW,Dobell,251.3,137.4,54.67,-3.68,113.9,45.33,3.68
1105411,NSW,Dobell,272.2,146.8,53.91,-2.19,125.5,46.09,2.19
1105412,NSW,Dobell,316.1,165.9,52.47,0.92,150.3,47.53,-0.92
1105413,NSW,Dobell,231.9,121.7,52.46,0.88,110.3,47.54,-0.88
1105414,NSW,Dobell,231.9,120.4,51.91,1.18,111.5,48.09,-1.18
1105415,NSW,Dobell,4.72,2.45,51.97,-2.43,2.27,48.03,2.43
1105416,NSW,Dobell,3.36,1.95,57.99,5.57,1.41,42.01,-5.57
1105417,NSW,Dobell,228.8,122.2,53.39,-3.44,106.6,46.61,3.44
1105418,NSW,Dobell,383.2,207.5,54.15,-3.35,175.7,45.85,3.35
1105419,NSW,Dobell,397.1,213.2,53.69,-3.54,183.9,46.31,3.54
1105420,NSW,Dobell,293,156.6,53.45,-3.3,136.4,46.55,3.3
1105421,NSW,Dobell,285.8,156.2,54.65,-3.28,129.6,45.35,3.28
1105422,NSW,Dobell,242.1,130.9,54.08,-3.31,111.2,45.92,3.31
1105423,NSW,Dobell,320.3,173.8,54.27,-3.39,146.5,45.73,3.39
1105424,NSW,Dobell,210.2,114,54.25,-3.4,96.18,45.75,3.4
1105501,NSW,Dobell,227,121.2,53.39,-1.59,105.8,46.61,1.59
1105502,NSW,Dobell,351.4,191.1,54.38,-0.79,160.3,45.62,0.79
1105503,NSW,Dobell,295.5,155.8,52.73,-2.69,139.7,47.27,2.69
1105504,NSW,Dobell,15.01,7.66,51.08,-1.62,7.34,48.92,1.62
1105505,NSW,Dobell,209.9,107.9,51.44,-1.18,101.9,48.56,1.18
1105506,NSW,Dobell,340,177.6,52.24,-1.06,162.4,47.76,1.06
1105507,NSW,Dobell,285.2,147.4,51.7,-1.72,137.7,48.3,1.72
1105508,NSW,Dobell,231.9,120.3,51.89,-1.18,111.6,48.11,1.18
1105509,NSW,Dobell,311.5,160.2,51.41,-1.66,151.4,48.59,1.66
1105510,NSW,Dobell,191.1,97.45,50.99,-3.4,93.66,49.01,3.4
1105511,NSW,Dobell,324.5,166.3,51.27,-2.08,158.1,48.73,2.08
1105512,NSW,Dobell,145.3,74.36,51.17,-1.35,70.97,48.83,1.35
1105513,NSW,Dobell,191.9,99.7,51.94,-1.36,92.24,48.06,1.36
1105514,NSW,Dobell,192.2,96.09,50.01,-2.94,96.06,49.99,2.94
1105601,NSW,Dobell,385.5,201.8,52.35,-2.69,183.7,47.65,2.69
1105602,NSW,Dobell,447.9,227.6,50.81,-3.89,220.3,49.19,3.89
1105603,NSW,Dobell,419.6,212.8,50.71,-3.82,206.8,49.29,3.82
1105604,NSW,Dobell,151.8,77.14,50.82,-3.85,74.64,49.18,3.85
1105605,NSW,Dobell,418.1,210.6,50.36,-3.92,207.5,49.64,3.92
1105606,NSW,Dobell,191.7,97.55,50.89,-3.8,94.13,49.11,3.8
1105607,NSW,Dobell,309.5,157.3,50.84,-3.93,152.2,49.16,3.93
1105608,NSW,Dobell,316.1,158.9,50.29,-3.91,157.1,49.71,3.91
1105609,NSW,Dobell,215.9,113.6,52.6,-2.91,102.3,47.4,2.91
1105612,NSW,Dobell,300.5,157.1,52.27,-2.41,143.4,47.73,2.41
1105613,NSW,Dobell,369.3,193.7,52.46,-2.55,175.5,47.54,2.55
1105614,NSW,Dobell,333.4,174.8,52.43,-2.45,158.6,47.57,2.45
1105615,NSW,Dobell,359.2,187.5,52.19,-2.42,171.7,47.81,2.42
1105616,NSW,Dobell,9.4,5.14,54.7,-3.79,4.26,45.3,3.79
1105617,NSW,Dobell,189.1,98.17,51.9,-2.94,90.97,48.1,2.94
1105618,NSW,Dobell,738.3,375.2,50.81,-3.94,363.2,49.19,3.94
1105620,NSW,Dobell,190.2,97.05,51.03,-3.43,93.14,48.97,3.43
1105621,NSW,Dobell,0.94,0.46,49.16,-4.29,0.48,50.84,4.29
1105622,NSW,Dobell,240.9,126.7,52.58,-2.58,114.2,47.42,2.58
1105623,NSW,Dobell,247.4,130.7,52.84,-2.13,116.7,47.16,2.13
1105624,NSW,Dobell,266.9,135.9,50.91,-3.17,131,49.09,3.17
1105625,NSW,Dobell,346.4,177.8,51.34,-3.57,168.6,48.66,3.57
1105626,NSW,Dobell,926,496.5,53.62,-2.04,429.5,46.38,2.04
1105627,NSW,Dobell,318.1,171.9,54.05,-1.64,146.2,45.95,1.64
1105628,NSW,Dobell,447.9,237.1,52.95,-2.21,210.7,47.05,2.21
1105629,NSW,Dobell,362.2,191.3,52.81,-2.49,170.9,47.19,2.49
